,brand,style,fabric,trims,item,description,position,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,outer,inner
10,airblaster,AB17MP2_054,0,1,zipper pull,abzp_01 utility cord zipper pullers with tied end ,"(2) vents, (3) pockets,  ",5,black,black,black,black,,,,,1,0
11,airblaster,AB17MP2_054,0,1,hardware,jean button17mm  (incl. washers),(1) fly opening,1,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,1,0
12,airblaster,AB17MP2_054,0,1,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)"," (4) pocket flaps, (2) bang snaps, (2) back pocket flaps",8,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,1,0
13,airblaster,AB17MP2_054,0,1,hardware,12mm metal eyelet  (incl. washers),(2)waistband (1) left belt loop,3,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,,,,,1,0
14,airblaster,AB17MP2_054,0,1,hardware,lace hooks,c.f. of lower leg gaiters at gripper elastic,2,black oxidized,black oxidized,black oxidized,black oxidized,,,,,1,0
15,airblaster,AB17MP2_054,0,1,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,dark olive,black,,,,,1,0
16,airblaster,AB17MP2_054,0,1,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,,,,,1,0
17,airblaster,AB17MP2_054,0,1,key clip,plastic key clip attched with webbing loop,inside w. right pocket bag,1,black,black,black,black,,,,,1,0
18,airblaster,AB17MP2_054,0,1,webbing,"flat webbing tape, 8mm",key clip attachment at wearers right inside pocket,1,black,black,black,black,,,,,1,0
19,airblaster,AB17MP2_054,0,1,main label,abwv_67 freedom main label,"inside c.b. waist, see q/a for detail",1,gold/black,gold/black,gold/black,gold/black,,,,,1,0
20,airblaster,AB17MP2_054,0,1,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/gold,,,,,1,0
21,airblaster,AB17MP2_054,0,1,w/c label,satin/printed w/c label (supplied by your side),at inside wearers left 8 cm from waistband seam,1,black,black,black,black,,,,,1,0
