index,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,fabric,trims,zipper,outer,inner
69,fe529-a,"shell fabric at hood, sleeves, sleeve pocket, collar
facing fabric at rolled cuffs, back of collar, windflap",,,,,lunar blue,lunar blue,moroccan red,lake blue,caviar black,,,,premiere,,,,yard,scott usa,m defined plus jkt,1,0,0,1,0
70,fe529-a,"shell fabric at front body, back body
facing fabric at rolled hem",,,,,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,premiere,,,,yard,scott usa,m defined plus jkt,1,0,0,1,0
71,sck-757s,shell fabric at face mask,,,,,marine blue,lunar blue,royal red,nightfall blue,caviar black,,,,singtex,,,4.8,yard,scott usa,m defined plus jkt,1,0,0,1,0
72,"tba-use available #5 coil open end, 1 slider for proto",,,,,cf zipper,use available,use available,use available,use available,use available,,,,ykk,,1,,0,scott usa,m defined plus jkt,0,1,0,1,0
73,tba-use available #3 coil closed end for proto,,,,,hand pocket zippers,use available,use available,use available,use available,use available,,,,ykk,,2,,0,scott usa,m defined plus jkt,0,1,0,1,0
74,tba-use available #3 coil closed end for proto,,,,,left sleeve pocket zipper,use available,use available,use available,use available,use available,,,,ykk,,1,,0,scott usa,m defined plus jkt,0,1,0,1,0
75,142-01951-000013 ,flexible zipper puller,,,,"cf zipper (1), hand pocket (2), sleeve pocket (1)          ",lunar blue,lunar blue,moroccan red,nightfall blue,caviar black,,,,utx,,4,0.11,0.44,scott usa,m defined plus jkt,0,1,0,1,0
76,pca224,cordlock,,,,hem adjustment,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.06,0.116,scott usa,m defined plus jkt,0,1,0,1,0
77,10mm grosgrain ribbon,webbing,,,,anchor for pca224 cordlock at bottom hem,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung,,,0.05,yard,scott usa,m defined plus jkt,0,1,0,1,0
78,p481s001,rubber puller ,,,,hem adjustment      ,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),,,,utx,,2,0.02,0.04,scott usa,m defined plus jkt,0,1,0,1,0
79,1034213,custom braid 2.2mm,,,,bottom hem,marine blue,marine blue,moroccan red,nightfall blue,caviar black,,,,chun wo ho,,,0.109,yard,scott usa,m defined plus jkt,0,1,0,1,0
80,5mm eyelet,5mm logo eyelet,,,, hem adjustment exit (4),antique silver,antique silver,antique silver,antique silver,antique silver,,,,il jin  ,,4,0.03,0.12,scott usa,m defined plus jkt,0,1,0,1,0
81,"3/4"" foldable lycra",binding,,,,"hood binding, top and bottom of face mask, edge of windflap, finish at zipper tape edge, neck seam          ",marine blue,marine blue,royal red,lake blue,caviar black,,,,woosung,,,0.244,0.244,scott usa,m defined plus jkt,0,1,0,1,0
82,gramax thread,normal flatlock,,,,"armhole seams, hood seams, face mask seam, underarm seams",lunar blue,marine blue,royal red,nightfall blue,caviar black,,,,coats,,,,0,scott usa,m defined plus jkt,0,1,0,1,0
83,gramax thread,normal flatlock,,,,side seams,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,coats,,,,0,scott usa,m defined plus jkt,0,1,0,1,0
84,dp-634,direct print (matte quality),,,,upper left chest,lunar blue,19-4024 dress blues,18-1449 ketchup,19-4110 nightfall blue,iron grey,,,,factory,,1,,0,scott usa,m defined plus jkt,0,1,0,1,0
85,sb-dp-804,direct print (matte quality),,,,right bicep,marine blue,marine blue,royal red,nightfall blue,irong rey,,,,factory,,1,,0,scott usa,m defined plus jkt,0,1,0,1,0
86,durawelt overlays,"1/4"" durawelt overlays",,,,sleeve pocket ,lunar blue,lunar blue,moroccan red,lake blue,caviar black,,,,factory,,,,0,scott usa,m defined plus jkt,0,1,0,1,0
87,durawelt overlays,"1/4"" durawelt overlays",,,,around hand pocket zippers,marine blue,lunar blue,moroccan red,lake blue,caviar black,,,,factory,,,,0,scott usa,m defined plus jkt,0,1,0,1,0
88,m-size-20,m's main interior label           ,,,,cb neckseam      ,,,,,,,,,daeyong,,1,0.045,0.045,scott usa,m defined plus jkt,0,1,0,1,0
89,8mm grosgrain ribbon    ,grosgrain ribbon           ,,,,locker loop      ,dark grey,dark grey,dark grey,dark grey,dark grey,,,,woosung  ,,1,0,0,scott usa,m defined plus jkt,0,1,0,1,0
90,ccl-001,care content labels,,,,left side seam,,,,,,,,,daeyong,,1,0.035,0.035,scott usa,m defined plus jkt,0,1,0,1,0
91,po label,po label- for bulk only!,,,,left side seam,white,white,white,white,white,,,,daeyong ,,1,0.005,0.005,scott usa,m defined plus jkt,0,1,0,1,0
92,m-ht-lay,m's layering hangtag         ,,,,left side       ,,,,,,,,,daeyong,,1,0.22,0.22,scott usa,m defined plus jkt,0,1,0,1,0
93,hangtag chain,chain for hangtag,,,,left side       ,,,,,,,,,daeyong,,1,0.06,0.06,scott usa,m defined plus jkt,0,1,0,1,0
