index,non material rows,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,supplier,ref,qty,price/unit,unit,brand,style,material_garment,fabric,trims,zipper,outer,inner
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-208-18_SKINNY TWILL,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-208-18_SKINNY TWILL,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-209-17_SKINNY DENIM PANT,1,0,1,0,1,0
,,SEAM TAPE,,,,,FULLY TAPED,,,,,,,,,TSGS,,,,,L1,L1-209-18_SLIM CARGO,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-209-18_SLIM CARGO,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-209-18_SLIM CARGO,1,0,1,0,1,0
,,Thread,8-10  SPI,#30/2,,,TOPSTITCH,,,,,,,,,,,,,,L1,L1-209-18_SLIM CARGO,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-209-18_SLIM CARGO,1,0,1,0,1,0
,,SIZE LABEL (SAMPLE SIZE L),SIZE LABEL,"XS, S, M, L, XL",,,CENTER BACK BELOW MAIN LABEL,,,,,,,,,,,,,,L1,L1-209-18_SLIM CARGO,1,0,1,0,1,0
,,Thread,12 SPI (SPECIAL ALLOWANCE TO AVOID SEAM SLIP ON SHELL  FABRIC),#30/2 # 604 TSEU,,,SEAMS,,,,,,,,,,,,,,L1,L1-210-17_THUNDER PANT,1,0,1,0,1,0
,,Thread,,#100/2,,,BARTACKS,,,,,,,,,,,,,,L1,L1-210-18_THUNDER,1,0,1,0,1,0
,,Thread,10-12 SPI,#30/2,,,SEAMS,,,,,,,,,,,,,,L1,L1-210-18_THUNDER,1,0,1,0,1,0
