,brand,style,item,supplier,ref,description,content,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,fabric,trims,outter ,inner
109,scott usa,m defined polar jkt,phtw-15,polartec,,polartec heat transfer,,,,right side near hem and side seam,1,0,0,white,white,white,white,none,none,0,1,,
110,scott usa,m defined polar jkt,m-int-20,daeyong,,main interior label,,,,cb neckseam,1,0.108,0.108,x,x,x,x,none,none,0,1,,
111,scott usa,m defined polar jkt,8mm grosgrain locker loop,woosung,,grosgrain,,,,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
112,scott usa,m defined polar jkt,ccl-152,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,x,x,x,x,none,none,0,1,,
113,scott usa,m defined polar jkt,po label,daeyong ,,po label- for bulk only!,,,,interior left side seam,1,0.005,0.005,x,x,x,x,none,none,0,1,,
114,scott usa,m defined polar jkt,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,none,none,0,1,,
115,scott usa,m defined polar jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,none,none,0,1,,
116,scott usa,m defined polar jkt,fit-ht-gen,daeyong,,general fit hang tag,,,,cf zipper slider,1,0.11,0.11,x,x,x,x,none,none,0,1,,
117,scott usa,m defined polar jkt,fit-ht-ath,daeyong ,,athletic fit hangtag       ,,,,cf zipper slider,1,0.055,0.055,x,x,x,x,none,none,0,1,,
118,scott usa,m defined polar jkt,ppg-15,polartec,,polartec powergrid hangtag,,,,cf zipper slider          ,1,0,0,x,x,x,x,none,none,0,1,,
119,scott usa,m defined polar jkt,porptec-15,polartec,,polartec polygeine hangtag,,,,cf zipper slider          ,1,0,0,x,x,x,x,none,none,0,1,,
120,scott usa,m defined tech jkt,meln135,premiere,,"shell fabric at collar, front body, back body, sleeves, windflap
facing fabric at interior collar,  rolled hem, rolled cuffs,",,,,none,none,5.16,yard,nightfall blue,marine blue,caviar black,royal red,none,none,1,0,,
121,scott usa,m defined tech jkt,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,collar,none,0.1,yard,white,white,white,white,none,none,1,0,,
122,scott usa,m defined tech jkt,cifol-56 da8blh1 (e)           ,ykk,,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,1,none,0,nightfall blue,lunar blue,iron grey,moroccan red,none,none,0,1,,
123,scott usa,m defined tech jkt,cfc-36 dablh (e)         ,ykk,,"#3 coil, closed end, dablh slider ",,,,chest pocket zipper,1,none,0,nightfall blue,marine blue,caviar black,moroccan red,none,none,0,1,,
124,scott usa,m defined tech jkt,zp-561/5    ,utx,,pop in puller- #5       ,,,,cf zipper,1,0.05,0.05,nightfall blue,lunar blue,caviar black,moroccan red,none,none,0,1,,
125,scott usa,m defined tech jkt,zp-562/3    ,utx,,pop in puller- #3        ,,,,chest pkt zipper,1,0.049,0.049,nightfall blue,lunar blue,caviar black,moroccan red,none,none,0,1,,
126,scott usa,m defined tech jkt,pca224,utx,,cordlock,,,,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,none,0,1,,
127,scott usa,m defined tech jkt,10mm grosgrain ribbon,woosung,,webbing,,,,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
128,scott usa,m defined tech jkt,p481s001,utx,,rubber puller ,,,,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,none,0,1,,
129,scott usa,m defined tech jkt,1034213,chun wo ho,,custom braid 2.2mm,,,,bottom hem,none,0.109,yard,nightfall blue,marine blue,caviar black,moroccan red,none,none,0,1,,
130,scott usa,m defined tech jkt,5mm eyelet,il jin  ,,5mm logo eyelet,,,,hem drawcord exit      ,4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,none,none,0,1,,
131,scott usa,m defined tech jkt,"3/4"" foldable lycra",woosung,,binding,,,,"cf zipper tape finish, windflap edge",none,0.244,yard,nightfall blue,lunar blue,caviar black,moroccan red,none,none,0,1,,
132,scott usa,m defined tech jkt,gramax thread,coats,,normal flatlock,,,,"seams at armhole, sleeves, side seams, chest pocket seam",none,none,0,nightfall blue,lunar blue,caviar black,moroccan red,none,none,0,1,,
133,scott usa,m defined tech jkt,sb-dp-804,taekwang,,direct print (matte quality),,,,right bicep,1,none,0,19-4010 eclipse blue,lunar blue,iron grey,moroccan red,none,none,0,1,,
134,scott usa,m defined tech jkt,ats,taekwang,,ats (matte quality),,,,left chest pocket window,1,none,0,19-4010 eclipse blue,lunar blue,iron grey,19-1650 biking red,none,none,0,1,,
135,scott usa,m defined tech jkt,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,none,none,0,1,,
136,scott usa,m defined tech jkt,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
137,scott usa,m defined tech jkt,ccl-001,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,none,none,0,1,,
138,scott usa,m defined tech jkt,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,none,none,0,1,,
139,scott usa,m defined tech jkt,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,none,none,0,1,,
