,Style,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,W18-101 PALISADES_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-101 PALISADES_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,W18-101 PALISADES_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-101 PALISADES_SHELL.csv,solid coated 210t,solis / sonp006-pu03,powder skirt,100% nylon,color,,,,,
4,W18-101 PALISADES_SHELL.csv,shell,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
5,W18-101 PALISADES_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
6,W18-101 PALISADES_SHELL.csv,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,
7,W18-101 PALISADES_SHELL.csv,power stretch mesh,supplier / ref code,underarm vents,100% polyester,color,,,,,
8,W18-101 PALISADES_SHELL.csv,power stretch mesh,supplier / ref code,goggle pocket,100% polyester,color,,,,,
9,W18-101 PALISADES_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
10,W18-101 PALISADES_SHELL.csv,solid 210t ,solis / sonp006-1,upper of sleeve gaiter,content,color,,,,,
0,N18-103 JARVIS_TRIMS.csv, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: tbd zipper tape color: black,,,,,1
1,N18-103 JARVIS_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,chest pocket horizontal,,silder/pull color: tbd zipper tape color: black,,,,,1
2,N18-103 JARVIS_TRIMS.csv, #3 coil zipper,non ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: tbd zipper tape color: black,,,,,1
3,N18-103 JARVIS_TRIMS.csv, #3 coil zipper,non ykk /  1-way dfw short non locking,underarm vents,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2
4,N18-103 JARVIS_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets vertical,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2
5,N18-103 JARVIS_TRIMS.csv, #3 coil zipper,non ykk /  1-way dfw short non locking,lining pocket vertical,,silder/pull color: tbd zipper tape color: black,,,,,1
6,N18-103 JARVIS_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
7,N18-103 JARVIS_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,,color,,,,,1
8,N18-103 JARVIS_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,chest pocket horizontal,,color,,,,,1
9,N18-103 JARVIS_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,,color,,,,,1
10,N18-103 JARVIS_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,,color,,,,,1 per side = 2
11,N18-103 JARVIS_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
12,N18-103 JARVIS_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,,color,,,,,1
13,N18-103 JARVIS_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
14,N18-103 JARVIS_TRIMS.csv,nitro trim number //  metal snap,xxx,chin,,color,,,,,1
15,N18-103 JARVIS_TRIMS.csv,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",powder skirt gripper elastic ,,color,,,,,1
16,N18-103 JARVIS_TRIMS.csv,goggle pocket binding,chun wo ho,goggle pocket opening,,color,,,,,1
17,N18-103 JARVIS_TRIMS.csv,joey cord keep 3mm,woojin/ w863,lining center front chest,,black,,,,,1
18,N18-103 JARVIS_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
19,N18-103 JARVIS_TRIMS.csv,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,,metal color,,,,,1 male 1 female
20,N18-103 JARVIS_TRIMS.csv,15mm metal snap,luk's / 404,powder skirt - front closure,,metal color,,,,,"1 female, 2 male"
21,N18-103 JARVIS_TRIMS.csv,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,,metal color,,,,,3 sets
