,brand,style,description,ref,position,spec,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,qty,inner,outer,fabric,trims
97,Nitro,N18-103 JARVIS,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",powder skirt gripper elastic ,,color,,,,,1,0,1,0,1
98,Nitro,N18-103 JARVIS,goggle pocket binding,chun wo ho,goggle pocket opening,,color,,,,,1,0,1,0,1
99,Nitro,N18-103 JARVIS,joey cord keep 3mm,woojin/ w863,lining center front chest,,black,,,,,1,0,1,0,1
100,Nitro,N18-103 JARVIS,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,,metal color,,,,,1 male 1 female,0,1,0,1
101,Nitro,N18-103 JARVIS,15mm metal snap,luk's / 404,powder skirt - front closure,,metal color,,,,,"1 female, 2 male",0,1,0,1
102,Nitro,N18-103 JARVIS,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,,metal color,,,,,3 sets,0,1,0,1
103,Nitro,N18-103 JARVIS,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4,0,1,0,1
104,Nitro,N18-103 JARVIS,8mm metal eyelet,luk's / et04,hem adjust ,,metal color,,,,,2 per side = 4,0,1,0,1
105,Nitro,N18-103 JARVIS,adjust,duraflex 1-17976 evil eye tension lock 10mm nylon,back hood adjust,,color,,,,,1,0,1,0,1
106,Nitro,N18-103 JARVIS,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2,0,1,0,1
107,Nitro,N18-103 JARVIS,"grosgrain 3/8""",xxx,attach hem cord lock,,color,,,,,1 per side = 2,0,1,0,1
108,Nitro,N18-103 JARVIS,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1,0,1,0,1
109,Nitro,N18-103 JARVIS,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,,color,,,,,1,0,1,0,1
110,Nitro,N18-103 JARVIS,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,,color,,,,,3 pieces ,0,1,0,1
111,Nitro,N18-103 JARVIS,"elastic  1""",xxx,encased in back of sleeve cuffs,,color,,,,,1 per side = 2,0,1,0,1
112,Nitro,N18-103 JARVIS,shockcord,xxx,hood,,color,,,,,1,0,1,0,1
113,Nitro,N18-103 JARVIS,shockcord,xxx,hem,,color,,,,,1,0,1,0,1
114,Nitro,N18-103 JARVIS,"elastine tape (used in 1"" x1 1/2"" welt)",xxx,lining media pocket cord exit,,color,,,,,1,0,1,0,1
115,Nitro,N18-103 JARVIS," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,chin,,match to shell,,,,,1,0,1,0,1
116,Nitro,N18-103 JARVIS," 1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,center front placket,,match to shell,,,,,4,0,1,0,1
117,Nitro,N18-103 JARVIS,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2,0,1,0,1
118,Nitro,N18-103 JARVIS,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2,0,1,0,1
119,Nitro,N18-103 JARVIS,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount,0,1,0,1
120,Nitro,N18-104 POWELL,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,,0,1,1,0
121,Nitro,N18-104 POWELL,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,,0,1,1,0
122,Nitro,N18-104 POWELL,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,,0,1,1,0
123,Nitro,N18-104 POWELL,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,,0,1,1,0
124,Nitro,N18-104 POWELL,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,color,,,,,,0,1,1,0
125,Nitro,N18-104 POWELL,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,,0,1,1,0
126,Nitro,N18-104 POWELL,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,,0,1,1,0
127,Nitro,N18-104 POWELL,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,,0,1,1,0
128,Nitro,N18-104 POWELL,regular mesh,supplier / ref code,underarm vents,100% polyester,color,,,,,,0,1,1,0
129,Nitro,N18-104 POWELL,regular mesh ,supplier / ref code,goggle pocket,100% polyester,color,,,,,,0,1,1,0
130,Nitro,N18-104 POWELL,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,,0,1,1,0
131,Nitro,N18-104 POWELL, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
132,Nitro,N18-104 POWELL, #5 coil zipper,non ykk /  1-way dfw short non locking,chest pocket horizontal,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
133,Nitro,N18-104 POWELL, #3 coil zipper,non ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: tbd zipper tape color: black,,,,,1,0,1,0,1
134,Nitro,N18-104 POWELL, #5 coil zipper,non ykk /  1-way dfw short non locking,underarm vents,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2,0,1,0,1
135,Nitro,N18-104 POWELL, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets vertical,,silder/pull color: tbd zipper tape color: black,,,,,1 per side = 2,0,1,0,1
136,Nitro,N18-104 POWELL,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,,color,,,,,1,0,1,0,1
137,Nitro,N18-104 POWELL,nitro custom pull / n14-trim-139,knk / 3738,chest pocket horizontal,,color,,,,,1,0,1,0,1
138,Nitro,N18-104 POWELL,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,,color,,,,,1,0,1,0,1
139,Nitro,N18-104 POWELL,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,,color,,,,,1 per side = 2,0,1,0,1
140,Nitro,N18-104 POWELL,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2,0,1,0,1
141,Nitro,N18-104 POWELL,nitro trim number //  metal snap,xxx,chin,,color,,,,,1,0,1,0,1
142,Nitro,N18-104 POWELL,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",powder skirt gripper elastic ,,color,,,,,1,0,1,0,1
143,Nitro,N18-104 POWELL,goggle pocket binding,chun wo ho,goggle pocket opening,,color,,,,,1,0,1,0,1
144,Nitro,N18-104 POWELL,15mm metal snap,luk's / 404,hidden at hem ,,metal color,,,,,1,0,1,0,1
145,Nitro,N18-104 POWELL,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,,metal color,,,,,1 male 1 female,0,1,0,1
146,Nitro,N18-104 POWELL,15mm metal snap,luk's / 404,powder skirt - front closure,,metal color,,,,,"1 female, 2 male",0,1,0,1
147,Nitro,N18-104 POWELL,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,,metal color,,,,,3 sets,0,1,0,1
148,Nitro,N18-104 POWELL,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4,0,1,0,1
149,Nitro,N18-104 POWELL,8mm metal eyelet,luk's / et04,hem adjust ,,metal color,,,,,2 per side = 4,0,1,0,1
150,Nitro,N18-104 POWELL,metal eyelets 11mm ,luk's / et89,back hood adjust,,metal color,,,,,1,0,1,0,1
151,Nitro,N18-104 POWELL,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2,0,1,0,1
152,Nitro,N18-104 POWELL,"grosgrain 3/8""",xxx,attach back hood cord lock,,color,,,,,1,0,1,0,1
153,Nitro,N18-104 POWELL,"grosgrain 3/8""",xxx,attach hem cord lock,,color,,,,,1 per side = 2,0,1,0,1
154,Nitro,N18-104 POWELL,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1,0,1,0,1
155,Nitro,N18-104 POWELL,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,,color,,,,,1,0,1,0,1
156,Nitro,N18-104 POWELL,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,,color,,,,,3 pieces ,0,1,0,1
157,Nitro,N18-104 POWELL,"elastic  1""",xxx,encased in back of sleeve cuffs,,color,,,,,1 per side = 2,0,1,0,1
158,Nitro,N18-104 POWELL,shockcord,xxx,hood,,color,,,,,1,0,1,0,1
159,Nitro,N18-104 POWELL,shockcord,xxx,hem,,color,,,,,1,0,1,0,1
160,Nitro,N18-104 POWELL," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,chin,,match to shell,,,,,1,0,1,0,1
161,Nitro,N18-104 POWELL," 1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,center front placket,,match to shell,,,,,4,0,1,0,1
162,Nitro,N18-104 POWELL,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2,0,1,0,1
163,Nitro,N18-104 POWELL,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2,0,1,0,1
164,Nitro,N18-104 POWELL,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount,0,1,0,1
165,Nitro,N18-105 REDUCE ANORAK,synthetic down,pinneco core 100g,all over,100% polyester,100g,,,,,,0,1,1,0
166,Nitro,N18-105 REDUCE ANORAK,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,,0,1,1,0
167,Nitro,N18-105 REDUCE ANORAK,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,,0,1,1,0
