,brand,style,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,spec,item,position,ref,fabric,trims,outer,inner
113,L1,L1-102-17_WINDSOR_TRIMS,1,,none,none,none,,,,,wp breath / size label / rn ca / made in ___,lining cb facing,none,0,1,1,0
114,L1,L1-102-17_WINDSOR_TRIMS,1,,address label,none,none,,,,,address label,lining left side seam,sew as loop,0,1,1,0
115,L1,L1-102-17_WINDSOR_TRIMS,1,,content label,none,none,,,,,content label,lining left side seam,sew as loop,0,1,1,0
116,L1,L1-102-17_WINDSOR_TRIMS,1,,washing label,none,none,,,,,washing label,lining left side seam,sew as loop,0,1,1,0
117,L1,L1-102-17_WINDSOR_TRIMS,1,,clear zip tie,none,none,,,,,clear zip tie,front left belt loop to attach hang tags,supplier // ,0,1,1,0
118,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,silt ,military,black,,,,none,broken twill,a,"soluna/ sonp020-cc01-m
cotton touch, 5k/5k, c6+dwr",1,0,1,0
119,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,silt ,military,black,,,,none,ribbing,"collar, sleeve hems",leader collar as last year,1,0,1,0
120,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,silt ,military,black,,,,content,insulation,location ,supplier/ reference number,1,0,1,0
121,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,60g pinneco core,60g pinneco core,60g pinneco core,,,,100% polyester,polyfill,all over,60g pinneco core,1,0,1,0
122,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,silt ,military,black,,,,content,seam tape,location ,supplier/ reference number,1,0,1,0
123,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,critically taped,critically taped,critically taped,,,,none,not seam taped,critically taped,tsgs,1,0,1,0
124,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,silt ,military,black,,,,content,lining,location ,supplier/ reference number,1,0,1,0
125,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,,,,100% polyester,printed satin,hood,solis/ pr258 womens print,1,0,1,0
126,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,black,black,black,,,,100% nylon,solid 210t ,sleeves,solis/ sonp006-1 ,1,0,1,0
127,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,black,black,black,,,,100% nylon,solid 210t ,arm pocket bag,supplier / ref code,1,0,1,0
128,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,,,,100% polyester,printed satin,hand pocket bags,solis/ pr258 womens print,1,0,1,0
129,L1,L1TA-107-18_NIGHTINGALE_04_04_17_SHELL,,,black,black,black,,,,100% polyester,brushed tricot,chin guard,supplier / ref code,1,0,1,0
130,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,silt / gunmetal,walnut / ink,,,,,100% polyester,broken twill,a,"solis/ sotw182-d
flannel / brush, c6+ dwr",1,0,1,0
131,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,silt / gunmetal,walnut / ink,,,,,content,insulation,location ,supplier/ reference number,1,0,1,0
132,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,pinneco mantle 40g,pinneco mantle 40g,,,,,100% polyester,polyfill insulation ,all over,pinneco mantle 40g,1,0,1,0
133,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,silt / gunmetal,walnut / ink,,,,,content,seam tape,location ,supplier/ reference number,1,0,1,0
134,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,none,none,,,,,none,no seam tape,none,none,1,0,1,0
135,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,silt / gunmetal,walnut / ink,,,,,content,lining,location ,supplier/ reference number,1,0,1,0
136,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,ink 19-4010 tcx   ,ink 19-4010 tcx   ,,,,,100% polyester,solid quilted satin,main body,solis/ pr258,1,0,1,0
137,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,ink 19-4010 tcx   ,ink 19-4010 tcx   ,,,,,100% nylon,solid satin,pocket bags,solis/ pr258,1,0,1,0
138,L1,L1TA-108-18_STRANGELOVE FLANNEL_32917_SHELL,,,black,black,,,,,100% nylon,solid 210t ,sleeves,solis/ sonp006-1 ,1,0,1,0
139,L1,L1-202-17_OVERALL_SHELL,,,black,none,none,none,none,none,100% poly,oxford 10k/10k coating + c6 dwr 80/10 $4.00,all shell is same fabric,solis oxford l2-581,1,0,1,0
140,L1,L1-202-17_OVERALL_SHELL,,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,content,item,insulation,supplier/ ref number,1,0,1,0
141,L1,L1-202-17_OVERALL_SHELL,,,no,none,none,none,none,none,none,none,non insulated,none,1,0,1,0
